cartodb_id,the_geom,the_geom_webmercator,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,_feature_count
251609,0101000020E610000039B9DFA1285010C0B0726891EDAC2140,0101000020110F000074AA2E36A0B51BC1081E44D2B4242E41,8.83775,-4.07828,333.5,0.4,0.4,2017-10-18,1330,N,nominal,1.0NRT,302.1,2.5,D,1
251639,0101000020E61000001A51DA1B7CC118C0D5E76A2BF6672340,0101000020110F0000584D6C866D0625C199030CE29A8F3041,9.70305,-6.18895,343,0.4,0.4,2017-10-18,1330,N,nominal,1.0NRT,312,7.3,D,1
251640,0101000020E6100000685C381092C518C048C49448A2672340,0101000020110F0000E5CEC8DAE50925C1E9CCC79A528F3041,9.70241,-6.19294,347.7,0.4,0.4,2017-10-18,1330,N,nominal,1.0NRT,315,7.3,D,1
328247,0101000020E610000062A1D634EFF815C0BEC1172653A51740,0101000020110F000024A8933042A922C10807B4703C1E2441,5.91145,-5.4931,330.6,0.6,0.5,2017-10-19,1312,N,nominal,1.0NRT,287,4.5,D,1
328248,0101000020E610000041D47D0052FB15C0C05B2041F1A31740,0101000020110F000018CA46F048AB22C10ECA68450E1D2441,5.9101,-5.49543,331.6,0.6,0.5,2017-10-19,1312,N,nominal,1.0NRT,287.6,3.9,D,1
328268,0101000020E61000003A5D16139B4F04C060C8EA56CF992040,0101000020110F000066B5C3DC064011C1CB5F6EFB1C4C2C41,8.30041,-2.53887,334.3,0.5,0.4,2017-10-19,1312,N,nominal,1.0NRT,297.6,3.9,D,1
349587,0101000020E6100000249C16BCE8CB14C0C8D2872EA8FF2040,0101000020110F0000F84F220299A921C1DB74B696FCFA2C41,8.49933,-5.19913,304.5,0.4,0.4,2017-10-20,0148,N,nominal,1.0NRT,292,0.6,N,1
453563,0101000020E6100000B515FBCBEEE914C012143FC6DCB51A40,0101000020110F0000BCC984C818C321C15D3FF22997BC2641,6.6776,-5.22845,331.2,0.3,0.6,2017-10-21,1412,N,nominal,1.0NRT,290,1.5,D,1
453564,0101000020E610000099D36531B1F913C04FAF946588631B40,0101000020110F00008991A9730FF720C19CEA82481F512741,6.8472,-4.99384,330.2,0.4,0.6,2017-10-21,1412,N,nominal,1.0NRT,292.3,2.7,D,1
453565,0101000020E6100000793BC269C10B16C01FBFB7E9CFBE1B40,0101000020110F0000C7F5524B3EB922C153E079C3359F2741,6.93634,-5.51148,342.6,0.3,0.6,2017-10-21,1412,N,nominal,1.0NRT,288.9,6,D,1
453571,0101000020E6100000FA27B85851E313C06C21C84109B31E40,0101000020110F00000F4641CA0EE420C179EFAD81BB262A41,7.67484,-4.97199,349.5,0.4,0.6,2017-10-21,1412,N,nominal,1.0NRT,294.1,5.5,D,1
453572,0101000020E61000005F24B4E55C4A1BC0B4C876BE9F5A1F40,0101000020110F00007E39262B852D27C13914191661B62A41,7.8385,-6.82262,342.2,0.6,0.5,2017-10-21,1412,N,nominal,1.0NRT,294.8,10.6,D,1
453573,0101000020E6100000A06CCA15DE451BC00074982F2F601F40,0101000020110F00004A668EC8B32927C1E9AE1C6D25BB2A41,7.84393,-6.81823,344.7,0.6,0.5,2017-10-21,1412,N,nominal,1.0NRT,295.1,11.2,D,1
453574,0101000020E6100000F0F96184F0481BC0CF31207BBD5B1F40,0101000020110F0000994A4BB34F2C27C18BCB4E0D56B72A41,7.83959,-6.82123,343.2,0.6,0.5,2017-10-21,1412,N,nominal,1.0NRT,295.2,8,D,1
453575,0101000020E6100000B62DCA6C90491BC0546F0D6C95601F40,0101000020110F0000E1F39882D72C27C1FA8257137DBB2A41,7.84432,-6.82184,330.6,0.6,0.5,2017-10-21,1412,N,nominal,1.0NRT,294.1,8,D,1
453577,0101000020E6100000E388B5F814401BC04B02D4D4B2B51F40,0101000020110F0000238588DFC92427C1B072DF8077042B41,7.92744,-6.81258,341.2,0.6,0.5,2017-10-21,1412,N,nominal,1.0NRT,296.2,6.8,D,1
453578,0101000020E6100000CA1AF5108DCE17C065C746205ED72040,0101000020110F0000187631A71A3824C185909665CCB52C41,8.42064,-5.95171,355.4,0.3,0.6,2017-10-21,1412,N,nominal,1.0NRT,295.2,4.9,D,1
453579,0101000020E6100000F870C971A7F41EC09EEFA7C64B872040,0101000020110F000009007344694A2AC16D696B81552C2C41,8.26425,-7.73892,333.2,0.5,0.5,2017-10-21,1412,N,nominal,1.0NRT,297.9,5,D,1
453580,0101000020E61000006397A8DE1AF81EC0BCE82B4833862040,0101000020110F00006A298D8F574D2AC1C44C570F742A2C41,8.26211,-7.74229,335.6,0.5,0.5,2017-10-21,1412,N,nominal,1.0NRT,298.2,5.7,D,1
453581,0101000020E6100000E25817B7D1A01FC082A8FB00A4A62040,0101000020110F00005AD1318FA1DC2AC1AD52068F23622C41,8.32547,-7.90705,333,0.5,0.5,2017-10-21,1412,N,nominal,1.0NRT,299.6,4.9,D,1
453586,0101000020E6100000FC1873D712B21FC09CA223B9FCE72140,0101000020110F000057A0B40649EB2AC115CE25E23E8A2E41,8.9531,-7.9239,341.3,0.5,0.5,2017-10-21,1412,N,nominal,1.0NRT,303.7,5.8,D,1
453613,0101000020E6100000B81E85EB51D818C0F0A2AF20CD682440,0101000020110F0000C154D75FD21925C1ADE4D3CF126D3141,10.20469,-6.21125,331.7,0.3,0.6,2017-10-21,1412,N,nominal,1.0NRT,298.4,3.3,D,1
475710,0101000020E6100000A60A462575E213C0C190D5AD9EB31E40,0101000020110F00005DE7F7C553E320C1AB42D68E3B272A41,7.67541,-4.97115,316.6,0.4,0.6,2017-10-22,0112,N,nominal,1.0NRT,284.8,0.9,N,1
475711,0101000020E6100000FCE3BD6A65E213C051A04FE449B21E40,0101000020110F000062CE3B6A46E320C16490DB8217262A41,7.67411,-4.97109,316.4,0.4,0.6,2017-10-22,0112,N,nominal,1.0NRT,285.4,1.1,N,1
475728,0101000020E61000005648F949B5CF12C0AC730CC85EAF1A40,0101000020110F00005F222E04F7F31FC1E5F63D000AB72641,6.67126,-4.70284,299.1,0.4,0.6,2017-10-22,0112,N,nominal,1.0NRT,274,0.6,N,1
475729,0101000020E6100000545227A089D012C0448B6CE7FBA91A40,0101000020110F000095C604B15FF51FC137135EF16EB22641,6.666,-4.70365,296.9,0.4,0.6,2017-10-22,0112,N,nominal,1.0NRT,272.6,0.4,N,1
512330,0101000020E6100000DF15C1FF563215C0486DE2E47E871740,0101000020110F00003016EE95970022C134AD2F77C4042441,5.88232,-5.29916,332.8,0.5,0.4,2017-10-22,1354,N,nominal,1.0NRT,297.2,4.9,D,1
512331,0101000020E6100000A60F5D50DF3215C07A19C5724B8B1740,0101000020110F0000FF99A15B0B0122C118B2CCD402082441,5.88603,-5.29968,333.8,0.5,0.4,2017-10-22,1354,N,nominal,1.0NRT,296.8,5.4,D,1
512332,0101000020E61000004F92AE997CD313C0D1967329AECA1840,0101000020110F0000DE6599CA9CD620C1209E38EAC7182541,6.19793,-4.95653,335.4,0.5,0.4,2017-10-22,1354,N,nominal,1.0NRT,298.7,6.2,D,1
512333,0101000020E61000000F62670A9D1717C06D904946CEA21840,0101000020110F00001728F432BC9C23C186C58FB3B7F62441,6.15899,-5.77306,332,0.5,0.4,2017-10-22,1354,N,nominal,1.0NRT,297.6,2.7,D,1
512334,0101000020E610000089EAAD81AD5213C03CA583F57FCE1940,0101000020110F00004A49AE08376920C1609C6F17CCF62541,6.45166,-4.83074,338.5,0.5,0.4,2017-10-22,1354,N,nominal,1.0NRT,297.2,5.9,D,1
512335,0101000020E61000001BD82AC1E25013C0950ED6FF39CC1940,0101000020110F000020C46A6AB16720C191861BAFDAF42541,6.44944,-4.82899,333.1,0.5,0.4,2017-10-22,1354,N,nominal,1.0NRT,296.7,3.8,D,1
